country_name,country_code,year,wb_milex_pct_gdp
Russian Federation,RUS,2020,4.14471713241985
Serbia,SRB,2020,2.29536613396667
Slovakia,SVK,2020,1.9041442947824
Slovenia,SVN,2020,1.0654982010929
Sweden,SWE,2020,1.15009466283262
Tajikistan,TJK,2020,0.947973986993497
Turkey,TUR,2020,2.19555218691023
Ukraine,UKR,2020,4.40031470276707
United States,USA,2020,3.64518757294704
Kosovo,XKX,2020,1.02303890223714
Albania,ALB,2021,1.24298808396067
Armenia,ARM,2021,4.46514475903396
Austria,AUT,2021,0.873515488270759
Azerbaijan,AZE,2021,4.93051740712765
Belgium,BEL,2021,1.04263994220028
Bulgaria,BGR,2021,1.5107237100085
Bosnia-Herzegovina,BIH,2021,0.886133600491203
Belarus,BLR,2021,1.36528926554311
Canada,CAN,2021,1.25420081409628
Switzerland,CHE,2021,0.67289247365512
Cyprus,CYP,2021,1.78406744246115
Germany,DEU,2021,1.29982374349238
Denmark,DNK,2021,1.29155763565745
Spain,ESP,2021,1.33768901652321
Estonia,EST,2021,2.01231933389152
Finland,FIN,2021,1.30243925969996
France,FRA,2021,1.98022225807935
United Kingdom,GBR,2021,2.07241748249759
Georgia,GEO,2021,1.59240624613036
Greece,GRC,2021,3.80247367841764
Croatia,HRV,2021,1.97150113166485
Hungary,HUN,2021,1.31520993597457
Ireland,IRL,2021,0.238637692712824
Italy,ITA,2021,1.66286387777873
Kazakhstan,KAZ,2021,0.819281683646492
Kyrgyzstan,KGZ,2021,2.840273087853
Lithuania,LTU,2021,1.94955292042791
Luxembourg,LUX,2021,0.47124923612019
Latvia,LVA,2021,2.15577987505149
Moldova,MDA,2021,0.370579924924369
Macedonia,MKD,2021,1.45370889108625
Malta,MLT,2021,0.446085155562138
Montenegro,MNE,2021,1.55528019503059
Netherlands,NLD,2021,1.36537490886658
Norway,NOR,2021,1.67632184694899
Poland,POL,2021,2.21716328801834
Portugal,PRT,2021,1.51644104082545
Romania,ROU,2021,1.84762902286434
Russian Federation,RUS,2021,3.57591678846302
Serbia,SRB,2021,2.72904089938996
Slovakia,SVK,2021,1.71243604796751
Slovenia,SVN,2021,1.23984465824347
Sweden,SWE,2021,1.18992635880485
Tajikistan,TJK,2021,1.00261189599905
Turkey,TUR,2021,1.85888321091456
Ukraine,UKR,2021,3.42549199562857
United States,USA,2021,3.40451991574826
Kosovo,XKX,2021,0.845929878221182
Albania,ALB,2022,1.20878861551122
Armenia,ARM,2022,4.08174595925594
Austria,AUT,2022,0.766706008326772
Azerbaijan,AZE,2022,3.79537025080483
Belgium,BEL,2022,1.16246551287247
Bulgaria,BGR,2022,1.58707500372134
Bosnia-Herzegovina,BIH,2022,0.752028730749218
Belarus,BLR,2022,1.64869313490861
Canada,CAN,2022,1.16713259486345
Switzerland,CHE,2022,0.682061302644033
Cyprus,CYP,2022,1.72118847605333
Germany,DEU,2022,1.35030514561756
Denmark,DNK,2022,1.36156457421085
Spain,ESP,2022,1.4055469125943
Estonia,EST,2022,2.13485210963824
Finland,FIN,2022,1.58854518946055
France,FRA,2022,1.95772067476703
