country,year,milex_constant_usd_m,milex_share_gdp
Albania,2018,220.58752103688323,1.1605447850506827
Albania,2019,248.15046850803577,1.2808059620147156
Albania,2020,240.5638704753821,1.2958357026973877
Albania,2021,254.78962415338404,1.2429880839606686
Albania,2022,267.45852903810555,1.2087886155112173
Albania,2023,397.61761306954554,1.7407334644623031
Albania,2024,481.5032368657384,2.0378622893667897
Armenia,2018,770.1076707362704,4.119886152568959
Armenia,2019,959.368433219317,4.787705840785639
Armenia,2020,931.9730987626798,4.982543723674975
Armenia,2021,881.2921711277793,4.4651447590339615
Armenia,2022,901.6574754601033,4.08174595925594
Armenia,2023,1326.2456793866888,5.506298148505661
Armenia,2024,1416.4514745992349,5.481749203490755
Austria,2018,3839.0269569975176,0.7489934682862854
Austria,2019,3925.7797762779837,0.7531334376144386
Austria,2020,4377.3187381788675,0.8858116294974752
Austria,2021,4486.550814898752,0.8735154882707594
Austria,2022,4000.963365117573,0.7667060083267723
Austria,2023,4452.227950613869,0.8708299524232194
Austria,2024,5096.6082507914725,0.9998431770366409
Azerbaijan,2018,2329.75235787249,3.549293312690406
Azerbaijan,2019,2518.065959258411,3.849018635785299
Azerbaijan,2020,2957.2047878477397,5.241526025068168
Azerbaijan,2021,3349.0600413456114,4.930517407127652
Azerbaijan,2022,3254.6462740207385,3.7953702508048277
Azerbaijan,2023,3561.670588235294,4.922414038396657
Azerbaijan,2024,3699.4025622473364,4.992923959783209
Belarus,2018,1040.6686417243345,1.53799428873681
Belarus,2019,985.5826932880937,1.3964229756680107
Belarus,2020,1042.7357319260714,1.4032585986716613
Belarus,2021,1094.9613370693323,1.3652892655431115
Belarus,2022,1241.742787271547,1.6486931349086082
Belarus,2023,1579.3310785419017,2.0234478441946124
Belarus,2024,1725.3729133219892,2.0736491079014443
Belgium,2018,5288.628153703798,0.892442476666613
Belgium,2019,5406.972460719057,0.8870049509338821
Belgium,2020,5887.564777469619,1.0059279669322474
Belgium,2021,6500.072697814306,1.0426399422002786
Belgium,2022,7364.111105769704,1.1624655128724732
Belgium,2023,7629.396588605928,1.184228752117569
Belgium,2024,8196.945803391964,1.2770531266155047
Bosnia-Herzegovina,2018,193.35609252793878,0.8400473566461399
Bosnia-Herzegovina,2019,194.8246009641839,0.8073242248853219
Bosnia-Herzegovina,2020,195.80659334663554,0.8272982831598836
Bosnia-Herzegovina,2021,231.78254441761686,0.8861336004912034
Bosnia-Herzegovina,2022,201.0589220471302,0.7520287307492179
Bosnia-Herzegovina,2023,197.3325157983119,0.7176300606490913
Bosnia-Herzegovina,2024,211.09473244662863,0.7470799204088543
Bulgaria,2018,1202.653966220304,1.45106212373153
Bulgaria,2019,2761.2585249328326,3.144950729063545
Bulgaria,2020,1382.765437402214,1.585618270511151
Bulgaria,2021,1470.3916524605668,1.510723710008497
Bulgaria,2022,1615.3568000307446,1.5870750037213406
Bulgaria,2023,1989.7034778381724,1.9445831065125423
Bulgaria,2024,2265.106014976479,2.149473282448526
Croatia,2018,1076.9183884018073,1.542340555650764
Croatia,2019,1168.3516707342096,1.6036107424915962
Croatia,2020,1140.6967319527948,1.696595019853379
Croatia,2021,1486.07368796298,1.9715011316648534
Croatia,2022,1421.5628117940616,1.802852651620957
Croatia,2023,1439.0603324964025,1.7066315878059246
Croatia,2024,1565.0061674308733,1.7932342450981422
Cyprus,2018,472.1804092346618,1.7498331903645636
Cyprus,2019,511.1152513530972,1.7695935370563824
Cyprus,2020,526.8213969217782,1.8955343784502101
Cyprus,2021,555.5299042778693,1.7840674424611478
Cyprus,2022,566.365112917073,1.721188476053332
Cyprus,2023,558.8783108111028,1.6506068333336046
Cyprus,2024,584.724982670327,1.6473521495492127
Denmark,2018,4786.174852837924,1.283104892940236
Denmark,2019,4938.604565812725,1.29920660644454
Denmark,2020,5251.975582941766,1.373768853149729
Denmark,2021,5349.85918143033,1.2915576356574472
Denmark,2022,5801.168946302029,1.3615645742108469
Denmark,2023,8132.606555213821,1.9996133291757274
Denmark,2024,9781.648831013114,2.4161745416059133
Estonia,2018,781.749357841431,1.9706131174318768
Estonia,2019,834.7626217676548,1.9984501867074407
Estonia,2020,928.3808108531111,2.2613642833291894
Estonia,2021,891.3267519063415,2.012319333891522
Estonia,2022,917.5184756344576,2.134852109638237
Estonia,2023,1235.9497149969102,2.9957229752250267
Estonia,2024,1392.6579125761443,3.3740022182460074
Finland,2018,4050.1176133577055,1.371682369935965
Finland,2019,4092.241832617438,1.3613228351738653
Finland,2020,4265.115605898352,1.435781155478093
Finland,2021,3984.1542156830455,1.3024392596999566
Finland,2022,4852.772829623623,1.588545189460552
Finland,2023,5928.02105436018,2.0075369530220986
Finland,2024,6893.946825837601,2.2997917371259726
France,2018,53529.59685555821,1.8460425714458935
France,2019,54872.76525486181,1.8528852069651314
France,2020,56796.26305348323,2.0216745528423226
France,2021,59214.478230346474,1.9802222580793456
France,2022,58904.3076821479,1.9577206747670346
France,2023,59491.964166101265,1.950996838000512
