country,year,milex_constant_usd_m,milex_share_gdp,sipri_available,country_code,wb_milex_pct_gdp,worldbank_available,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,acled_available,gdp_pct,nato_2pct_threshold,conflict_zone
Azerbaijan,2021,3349.0600413456114,4.930517407127652,1,AZE,4.93051740712765,1,331.0,33.0,2410430.0,139.0,56.0,115.0,2.0,8.0,11.0,1,4.930517407127652,1,Other
Azerbaijan,2022,3254.6462740207385,3.7953702508048277,1,AZE,3.79537025080483,1,531.0,68.0,1738394.0,313.0,57.0,128.0,1.0,16.0,16.0,1,3.7953702508048277,1,Other
Azerbaijan,2023,3561.670588235294,4.922414038396657,1,AZE,4.92241403839666,1,799.0,570.0,2273484.0,436.0,75.0,179.0,1.0,54.0,54.0,1,4.922414038396657,1,Other
Azerbaijan,2024,3699.4025622473364,4.992923959783209,1,AZE,4.99292395978321,1,163.0,2.0,285914.0,52.0,24.0,17.0,0.0,70.0,0.0,1,4.992923959783209,1,Other
Bailiwick of Guernsey,2020,,,0,,,0,6.0,0.0,59478.0,0.0,0.0,6.0,0.0,0.0,0.0,1,,0,Other
Bailiwick of Guernsey,2021,,,0,,,0,3.0,0.0,29964.0,0.0,0.0,3.0,0.0,0.0,0.0,1,,0,Other
Bailiwick of Guernsey,2022,,,0,,,0,2.0,0.0,20156.0,0.0,0.0,2.0,0.0,0.0,0.0,1,,0,Other
Bailiwick of Guernsey,2024,,,0,,,0,1.0,0.0,10251.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Bailiwick of Jersey,2020,,,0,,,0,5.0,0.0,81075.0,0.0,0.0,5.0,0.0,0.0,0.0,1,,0,Other
Bailiwick of Jersey,2021,,,0,,,0,8.0,0.0,97905.0,0.0,0.0,8.0,0.0,0.0,0.0,1,,0,Other
Belarus,2018,1040.6686417243345,1.53799428873681,1,BLR,1.53799428873681,1,121.0,0.0,898306.0,0.0,0.0,103.0,2.0,9.0,7.0,1,1.53799428873681,0,Other
Belarus,2019,985.5826932880937,1.3964229756680107,1,BLR,1.39642297566801,1,186.0,0.0,1194638.0,1.0,0.0,169.0,0.0,10.0,6.0,1,1.3964229756680107,0,Other
Belarus,2020,1042.7357319260714,1.4032585986716613,1,BLR,1.40325859867166,1,1842.0,6.0,7389401.0,1.0,0.0,1746.0,19.0,29.0,47.0,1,1.4032585986716613,0,Other
Belarus,2021,1094.9613370693323,1.3652892655431115,1,BLR,1.36528926554311,1,1486.0,5.0,4997537.0,1.0,2.0,1388.0,2.0,57.0,36.0,1,1.3652892655431115,0,Other
Belarus,2022,1241.742787271547,1.6486931349086082,1,BLR,1.64869313490861,1,205.0,4.0,2062700.0,1.0,4.0,82.0,0.0,69.0,49.0,1,1.6486931349086082,0,Other
Belarus,2023,1579.3310785419017,2.0234478441946124,1,BLR,2.02344784419461,1,70.0,2.0,701065.0,1.0,2.0,5.0,0.0,40.0,22.0,1,2.0234478441946124,1,Other
Belarus,2024,1725.3729133219892,2.0736491079014443,1,BLR,2.07364910790144,1,130.0,2.0,333570.0,0.0,3.0,1.0,0.0,108.0,18.0,1,2.0736491079014443,1,Other
Belgium,2018,5288.628153703798,0.892442476666613,1,BEL,0.892442476666613,1,,,,,,,,,,0,0.892442476666613,0,Other
Belgium,2019,5406.972460719057,0.8870049509338821,1,BEL,0.887004950933882,1,2.0,0.0,11187.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0.8870049509338821,0,Other
Belgium,2020,5887.564777469619,1.0059279669322474,1,BEL,1.00592796693225,1,813.0,0.0,5357040.0,0.0,0.0,782.0,23.0,6.0,2.0,1,1.0059279669322474,0,Other
Belgium,2021,6500.072697814306,1.0426399422002786,1,BEL,1.04263994220028,1,851.0,2.0,5410368.0,1.0,0.0,837.0,12.0,1.0,0.0,1,1.0426399422002786,0,Other
Belgium,2022,7364.111105769704,1.1624655128724732,1,BEL,1.16246551287247,1,553.0,3.0,4212835.0,2.0,0.0,526.0,19.0,5.0,1.0,1,1.1624655128724732,0,Other
Belgium,2023,7629.396588605928,1.184228752117569,1,BEL,1.18422875211757,1,723.0,4.0,4395590.0,1.0,0.0,689.0,22.0,8.0,3.0,1,1.184228752117569,0,Other
Belgium,2024,8196.945803391964,1.2770531266155047,1,BEL,1.2770531266155,1,875.0,0.0,5547346.0,0.0,0.0,830.0,23.0,21.0,1.0,1,1.2770531266155047,0,Other
Bosnia-Herzegovina,2018,193.35609252793878,0.8400473566461399,1,BIH,0.84004735664614,1,282.0,1.0,2494964.0,1.0,16.0,216.0,13.0,26.0,10.0,1,0.8400473566461399,0,Other
Bosnia-Herzegovina,2019,194.8246009641839,0.8073242248853219,1,BIH,0.807324224885322,1,183.0,1.0,2011758.0,0.0,10.0,142.0,8.0,8.0,15.0,1,0.8073242248853219,0,Other
Bosnia-Herzegovina,2020,195.80659334663554,0.8272982831598836,1,BIH,0.827298283159884,1,147.0,0.0,1006907.0,0.0,1.0,135.0,2.0,6.0,3.0,1,0.8272982831598836,0,Other
Bosnia-Herzegovina,2021,231.78254441761686,0.8861336004912034,1,BIH,0.886133600491203,1,143.0,0.0,970021.0,0.0,0.0,135.0,3.0,4.0,1.0,1,0.8861336004912034,0,Other
Bosnia-Herzegovina,2022,201.0589220471302,0.7520287307492179,1,BIH,0.752028730749218,1,169.0,1.0,1052086.0,0.0,0.0,151.0,3.0,11.0,4.0,1,0.7520287307492179,0,Other
Bosnia-Herzegovina,2023,197.3325157983119,0.7176300606490913,1,BIH,0.717630060649091,1,142.0,0.0,936759.0,0.0,0.0,132.0,4.0,1.0,5.0,1,0.7176300606490913,0,Other
Bosnia-Herzegovina,2024,211.09473244662863,0.7470799204088543,1,BIH,0.747079920408854,1,162.0,14.0,995301.0,2.0,2.0,132.0,1.0,13.0,12.0,1,0.7470799204088543,0,Other
Bulgaria,2018,1202.653966220304,1.45106212373153,1,BGR,1.45106212373153,1,363.0,0.0,2850913.0,0.0,0.0,353.0,9.0,1.0,0.0,1,1.45106212373153,0,Other
Bulgaria,2019,2761.2585249328326,3.144950729063545,1,BGR,3.14495072906354,1,399.0,0.0,3085379.0,0.0,0.0,379.0,8.0,8.0,4.0,1,3.144950729063545,1,Other
Bulgaria,2020,1382.765437402214,1.585618270511151,1,BGR,1.58561827051115,1,913.0,0.0,5707841.0,0.0,0.0,872.0,29.0,9.0,3.0,1,1.585618270511151,0,Other
Bulgaria,2021,1470.3916524605668,1.510723710008497,1,BGR,1.5107237100085,1,506.0,0.0,3229591.0,0.0,0.0,485.0,9.0,11.0,1.0,1,1.510723710008497,0,Other
Bulgaria,2022,1615.3568000307446,1.5870750037213406,1,BGR,1.58707500372134,1,614.0,2.0,3841724.0,0.0,0.0,609.0,3.0,2.0,0.0,1,1.5870750037213406,0,Other
Bulgaria,2023,1989.7034778381724,1.9445831065125423,1,BGR,1.94458310651254,1,577.0,0.0,3713882.0,0.0,0.0,575.0,1.0,1.0,0.0,1,1.9445831065125423,0,Other
Bulgaria,2024,2265.106014976479,2.149473282448526,1,BGR,2.14947328244853,1,543.0,0.0,3288800.0,0.0,0.0,537.0,1.0,3.0,2.0,1,2.149473282448526,1,Other
Canada,2018,,,0,CAN,1.3176781061648,1,,,,,,,,,,0,1.3176781061648,0,Other
Canada,2019,,,0,CAN,1.28451224366918,1,,,,,,,,,,0,1.28451224366918,0,Other
Canada,2020,,,0,CAN,1.39399340787119,1,,,,,,,,,,0,1.39399340787119,0,Other
Canada,2021,,,0,CAN,1.25420081409628,1,,,,,,,,,,0,1.25420081409628,0,Other
Canada,2022,,,0,CAN,1.16713259486345,1,,,,,,,,,,0,1.16713259486345,0,Other
Canada,2023,,,0,CAN,1.25316567875902,1,,,,,,,,,,0,1.25316567875902,0,Other
Canada,2024,,,0,CAN,1.31303419578919,1,,,,,,,,,,0,1.31303419578919,0,Other
Croatia,2018,1076.9183884018073,1.542340555650764,1,HRV,1.54234055565076,1,183.0,0.0,1615202.0,0.0,7.0,164.0,3.0,5.0,4.0,1,1.542340555650764,0,Other
Croatia,2019,1168.3516707342096,1.6036107424915962,1,HRV,1.6036107424916,1,234.0,3.0,3109451.0,0.0,10.0,206.0,5.0,1.0,12.0,1,1.6036107424915962,0,Other
Croatia,2020,1140.6967319527948,1.696595019853379,1,HRV,1.69659501985338,1,141.0,0.0,1117655.0,0.0,0.0,131.0,3.0,0.0,7.0,1,1.696595019853379,0,Other
Croatia,2021,1486.07368796298,1.9715011316648534,1,HRV,1.97150113166485,1,188.0,1.0,1045720.0,0.0,1.0,173.0,6.0,5.0,3.0,1,1.9715011316648534,0,Other
Croatia,2022,1421.5628117940616,1.802852651620957,1,HRV,1.80285265162096,1,113.0,0.0,638962.0,0.0,0.0,111.0,0.0,2.0,0.0,1,1.802852651620957,0,Other
Croatia,2023,1439.0603324964025,1.7066315878059246,1,HRV,1.70663158780592,1,133.0,0.0,765754.0,0.0,0.0,132.0,0.0,0.0,1.0,1,1.7066315878059246,0,Other
Croatia,2024,1565.0061674308733,1.7932342450981422,1,HRV,1.79323424509814,1,228.0,15.0,1146350.0,1.0,0.0,198.0,5.0,15.0,9.0,1,1.7932342450981422,0,Other
Cyprus,2018,472.1804092346618,1.7498331903645636,1,CYP,1.74983319036456,1,102.0,1.0,831130.0,0.0,1.0,87.0,8.0,4.0,2.0,1,1.7498331903645636,0,Other
Cyprus,2019,511.1152513530972,1.7695935370563824,1,CYP,1.76959353705638,1,215.0,1.0,1433243.0,0.0,2.0,180.0,6.0,23.0,4.0,1,1.7695935370563824,0,Other
Cyprus,2020,526.8213969217782,1.8955343784502101,1,CYP,1.89553437845021,1,270.0,0.0,1732154.0,0.0,3.0,221.0,21.0,23.0,2.0,1,1.8955343784502101,0,Other
Cyprus,2021,555.5299042778693,1.7840674424611478,1,CYP,1.78406744246115,1,364.0,0.0,1812725.0,1.0,3.0,326.0,15.0,15.0,4.0,1,1.7840674424611478,0,Other
Cyprus,2022,566.365112917073,1.721188476053332,1,CYP,1.72118847605333,1,463.0,1.0,1988402.0,1.0,2.0,388.0,31.0,34.0,7.0,1,1.721188476053332,0,Other
Cyprus,2023,558.8783108111028,1.6506068333336046,1,CYP,1.6506068333336,1,358.0,5.0,2520218.0,1.0,8.0,247.0,24.0,68.0,10.0,1,1.6506068333336046,0,Other
Cyprus,2024,584.724982670327,1.6473521495492127,1,CYP,1.64735214954921,1,326.0,3.0,2317091.0,1.0,3.0,190.0,40.0,86.0,6.0,1,1.6473521495492127,0,Other
